id	filename	tokens	lemmas
1247944	tlg0001.tlg001.perseus-grc2	ἀρχόμενος σέο, Φοῖβε, παλαιγενέων κλέα φωτῶν μνήσομαι, οἳ Πόντοιο κατὰ στόμα καὶ διὰ πέτρας Κυανέας βασιλῆος ἐφημοσύνῃ Πελίαο χρύσειον μετὰ κῶας ἐύζυγον ἤλασαν Ἀργώ.	ἄρχω  , Φοῖβος ,  κλέος φώς μιμνήσκω , ὁ Πόντος κατά στόμα καί διά πέτρα  βασιλεύς ἐφημοσύνη Πελίας χρύσεος μετά κῶας εὔζυγος ἐλαύνω Ἀργός .
1247945	tlg0001.tlg001.perseus-grc2	τοίην γὰρ Πελίης φάτιν ἔκλυεν, ὥς μιν ὀπίσσω μοῖρα μένει στυγερή, τοῦδʼ ἀνέρος, ὅντινʼ ἴδοιτο δημόθεν οἰοπέδιλον, ὑπʼ ἐννεσίῃσι δαμῆναι.	τοῖος γάρ Πελίας φάτις κλύω , ὡς  ὀπίσω μοῖρα μένω στυγερός , ὅδε ἀνήρ , ὅστις ὁράω δημός οἰοπέδιλος , ὑπό ἐνεσία δαμάζω .
1247946	tlg0001.tlg001.perseus-grc2	δηρὸν δʼ οὐ μετέπειτα τεὴν κατὰ βάξιν Ἰήσων χειμερίοιο ῥέεθρα κιὼν διὰ ποσσὶν Ἀναύρου ἄλλο μὲν ἐξεσάωσεν ὑπʼ ἰλύος, ἄλλο δʼ ἔνερθεν κάλλιπεν αὖθι πέδιλον ἐνισχόμενον προχοῇσιν.	δηρός δέ οὐ μετέπειτα  κατά βάξις Ἰάσων  ῥεῖθρον κίω διά πούς Ἄναυρος ἄλλος μέν ἐκσῴζω ὑπό ἰλύς , ἄλλος δέ ἔνερθε καταλείπω αὖθι  ἐνίσχω  .
1247947	tlg0001.tlg001.perseus-grc2	ἵκετο δʼ ἐς Πελίην αὐτοσχεδὸν ἀντιβολήσων εἰλαπίνης, ἣν πατρὶ Ποσειδάωνι καὶ ἄλλοις ῥέζε θεοῖς, Ἥρης δὲ Πελασγίδος οὐκ ἀλέγιζεν.	ἱκνέομαι δέ εἰς Πελίας αὐτοσχεδόν ἀντιβολέω εἰλαπίνη , ὅς πατήρ Ποσειδῶν καί ἄλλος ῥέζω θεός , Ἥρα δέ Πελασγίς οὐ ἀλεγίζω .
1247948	tlg0001.tlg001.perseus-grc2	αἶψα δὲ τόνγʼ ἐσιδὼν ἐφράσσατο, καί οἱ ἄεθλον ἔντυε ναυτιλίης πολυκηδέος, ὄφρʼ ἐνὶ πόντῳ ἠὲ καὶ ἀλλοδαποῖσι μετʼ ἀνδράσι νόστον ὀλέσσῃ.	αἶψα δέ  εἰσοράω φράζω , καί ἕ ἆθλος τύνω ναυτιλία πολυκηδής , ὄφρα ἐν πόντος ἤ καί ἀλλοδαπός μετά ἀνήρ νόστος ὄλλυμι .
1247949	tlg0001.tlg001.perseus-grc2	νῆα μὲν οὖν οἱ πρόσθεν ἐπικλείουσιν ἀοιδοὶ Ἄργον Ἀθηναίης καμέειν ὑποθημοσύνῃσιν.	ναῦς μέν οὖν ὁ πρόσθεν ἐπικλείω ἀοιδός Ἄργος2 Ἀθήνη  ὑποθημοσύνη .
1247950	tlg0001.tlg001.perseus-grc2	νῦν δʼ ἂν ἐγὼ γενεήν τε καὶ οὔνομα μυθησαίμην ἡρώων, δολιχῆς τε πόρους ἁλός, ὅσσα τʼ ἔρεξαν πλαζόμενοι·	νῦν δέ ἄν  γενεά τε καί ὄνομα μυθέομαι ἥρως , δολιχός τε πόρος ἅλς2 , ὅσος  ἐρέσσω πλάζω ·
1247951	tlg0001.tlg001.perseus-grc2	Μοῦσαι δʼ ὑποφήτορες εἶεν ἀοιδῆς.	Μοῦσα δέ ὑποφήτωρ εἰμί ἀοιδή .
1247952	tlg0001.tlg001.perseus-grc2	πρῶτά νυν Ὀρφῆος μνησώμεθα, τόν ῥά ποτʼ αὐτὴ Καλλιόπη Θρήικι φατίζεται εὐνηθεῖσα Οἰάγρῳ σκοπιῆς Πιμπληίδος ἄγχι τεκέσθαι αὐτὰρ τόνγʼ ἐνέπουσιν ἀτειρέας οὔρεσι πέτρας θέλξαι ἀοιδάων ἐνοπῇ ποταμῶν τε ῥέεθρα.	πρῶτος νῦν Ὀρφεύς  , ὁ ἄρα ποτή αὐτός Καλλιόπη Θρᾷξ φατίζω εὐνάω Οἴαγρος  Πίμπλεια ἄγχι τίκτω   ἐνέπω ἀτειρής ὄρος πέτρα θέλγω ἀοιδή ἐνοπή ποταμός τε ῥεῖθρον .
1247953	tlg0001.tlg001.perseus-grc2	φηγοὶ δʼ ἀγριάδες, κείνης ἔτι σήματα μολπῆς, ἀκτῆς Θρηικίης Ζώνης ἔπι τηλεθόωσαι ἑξείης στιχόωσιν ἐπήτριμοι, ἃς ὅγʼ ἐπιπρὸ θελγομένας φόρμιγγι κατήγαγε Πιερίηθεν.	δέ ἀγριάς , ἐκεῖνος ἔτι σῆμα μολπή , ἀκτέα Θρᾴκιος Ζώνη ἐπί τηλεθάω ἑξῆς στιχάομαι ἐπήτριμος , ὅς  ἐπιπρό  φόρμιγξ κατάγω Πιερία .
