id	filename	tokens	lemmas
364999	tlg1799.tlg008.First1K-grc1	1.	.
365000	tlg1799.tlg008.First1K-grc1	Ad prop.	.
365001	tlg1799.tlg008.First1K-grc1	XIX.	.
365002	tlg1799.tlg008.First1K-grc1	Ἄλλως τὸ ιθ΄.	ἄλλος ὁ  .
365003	tlg1799.tlg008.First1K-grc1	∠υνατὸν δέ ἐστί καὶ οὕτως.	δέ εἰμί καί οὕτως .
365004	tlg1799.tlg008.First1K-grc1	ἔστω τρία μεγέθη τὰ.	εἰμί   ὁ .
365005	tlg1799.tlg008.First1K-grc1	ΑΒ, Γ, ∠, καὶ τὸ μὲν ΑΒ τοῦ δοθέντι μεῖζον ἔστω- ἢ ἐν λόγῳ, τὸ δὲ τοῦ∠ δοθέντι μεῖζον ἢ ἐν λόγῳ·	,  ,  , καί ὁ μέν  ὁ δίδωμι μέγας εἰμί - ἤ ἐν λόγος , ὁ δέ ὁ ∠ δίδωμι μέγας ἤ ἐν λόγος ·
365006	tlg1799.tlg008.First1K-grc1	λέγω, ὅτι καὶ τὸ ΑΒ τοῦ∠ δοθέντι μεῖζόν ἐστιν ἢ ἐν λόγῳ.	λέγω , ὅτι2 καί ὁ  ὁ ∠ δίδωμι μέγας εἰμί ἤ ἐν λόγος .
365007	tlg1799.tlg008.First1K-grc1	ἐπεὶ γὰρ τὸ ΑΒ τοῦ Γ δοθέντι μεῖζόν ἐστιν ἢ ἐν λόγῳ, ἀφῃρήσθω τὸ δοθὲν μέγεθος τὸ ΑΕ·	ἐπεί γάρ ὁ  ὁ  δίδωμι μέγας εἰμί ἤ ἐν λόγος ,  ὁ δίδωμι μέγεθος ὁ  ·
365008	tlg1799.tlg008.First1K-grc1	λοιποῦ ἄρα τοῦ ΕΒ πρὸς τὸ Γ λόγος ἐστὶ δοθέίς·	λοιπός ἄρα ὁ  πρός ὁ  λόγος εἰμί  ·
365009	tlg1799.tlg008.First1K-grc1	τὸ δὲΓ τοῦ∠ δοθέντι μεῖζόν ἐστιν ἢ ἐν λόγῳ·	ὁ δέ Γ ὁ ∠ δίδωμι μέγας εἰμί ἤ ἐν λόγος ·
365010	tlg1799.tlg008.First1K-grc1	καὶ τὸ ΕΒ ἄρα τοῦ∠ δοθέντι μεῖζόν ἐστιν ἢ ἐν λόγῳ.	καί ὁ  ἄρα ὁ ∠ δίδωμι μέγας εἰμί ἤ ἐν λόγος .
365011	tlg1799.tlg008.First1K-grc1	ἀφῃρήσθω οὖν τὸ δοθὲν μέγεθος τὸ ΕΖ λοιποῦ ἄρα τοῦ ΖΒ πρὸς τὸ ∠ λόγος ἐστὶ δοθείς.	οὖν ὁ δίδωμι μέγεθος ὁ  λοιπός ἄρα ὁ  πρός ὁ  λόγος εἰμί δίδωμι .
365012	tlg1799.tlg008.First1K-grc1	καί ἐστι δοθὲν τὸ ΑΖ τὸ ΑΒ ἄρα τοῦ∠ δοθέντι μεῖζόν ἐστιν ἢ ἐν λόγῳ.	καί εἰμί  ὁ  ὁ  ἄρα ὁ ∠ δίδωμι μέγας εἰμί ἤ ἐν λόγος .
365013	tlg1799.tlg008.First1K-grc1	2.	.
365014	tlg1799.tlg008.First1K-grc1	Ad prop.	.
365015	tlg1799.tlg008.First1K-grc1	XXIV.	.
365016	tlg1799.tlg008.First1K-grc1	Ἄλλως τὸ αὐτό.	ἄλλος ὁ  .
365017	tlg1799.tlg008.First1K-grc1	Ἐπεὶ λόγος ἐστὶ τῆς Α πρὸς τὴν Γ δοθείς, ὡς δὲ ἡ Α πρὸς τὴνΓ, οὕτως τὸ ἀπὸ τῆς Α πρὸς τὸ ὑπὸ τῶνΑ,Γ, λόγος ἄρα καὶ τοῦ ἀπὸ τῆς Α πρὸς τὸ ὑπὸ τῶν Α,Γ δοθείς.	λόγος εἰμί ὁ  πρός ὁ  δίδωμι , ὡς δέ ὁ  πρός ὁ Γ , οὕτως ὁ ἀπό ὁ  πρός ὁ ὑπό ὁ Α , Γ , λόγος ἄρα καί ὁ ἀπό ὁ  πρός ὁ ὑπό ὁ  , Γ δίδωμι .
365018	tlg1799.tlg008.First1K-grc1	τῷῦ δὲ ὑπὸ τῶνΑ,Γ ἴσον ἐστὶ τὸ ἀπὸ τῆς Β·	δέ ὑπό ὁ Α , Γ ἴσος εἰμί ὁ ἀπό ὁ  ·
365019	tlg1799.tlg008.First1K-grc1	λόγος ἄρα τοῦ ἀπὸ τῆς Α πρὸς τὸ ἀπὸὸ τῆς Β δοθείς·	λόγος ἄρα ὁ ἀπό ὁ  πρός ὁ ἀπό ὸ ὁ  δίδωμι ·
365020	tlg1799.tlg008.First1K-grc1	ὥστε καὶ τῆς Α πρὸς τὴν Β λόγος ἐστὶ δοθείς.	ὡς καί ὁ  πρός ὁ  λόγος εἰμί δίδωμι .
365021	tlg1799.tlg008.First1K-grc1	3.	.
365022	tlg1799.tlg008.First1K-grc1	Ad prop.	.
365023	tlg1799.tlg008.First1K-grc1	XXVII.	.
