50001001001|Παῦλος|None|CL|id="n50001001001"|ref="PHP 1:1!1"|Cat="noun"|Start="0"|End="0"|StrongNumber="3972"|UnicodeLemma="Παῦλος"|Gender="Masculine"|Number="Singular"|FunctionalTag="N-NSM"|Type="Proper"|morphId="50001001001"|NormalizedForm="Παῦλος"|Case="Nominative"|Unicode="Παῦλος"|FormalTag="N-NSM"|nodeId="500010010010010"|Gloss="Paul"|LexDomain="093001"|LN="93.294a"
50001001002|καὶ|50001001001|conj|id="n50001001002"|ref="PHP 1:1!2"|Cat="conj"|Start="1"|End="1"|StrongNumber="2532"|UnicodeLemma="καί"|FunctionalTag="CONJ"|Type=""|morphId="50001001002"|NormalizedForm="καί"|Unicode="καὶ"|FormalTag="CONJ"|nodeId="500010010020010"|Gloss="and"|LexDomain="089017"|LN="89.92"
50001001003|Τιμόθεος|50001001001|np|id="n50001001003"|ref="PHP 1:1!3"|Cat="noun"|Start="2"|End="2"|StrongNumber="5095"|UnicodeLemma="Τιμόθεος"|Gender="Masculine"|Number="Singular"|FunctionalTag="N-NSM"|Type="Proper"|morphId="50001001003"|NormalizedForm="Τιμόθεος"|Case="Nominative"|Unicode="Τιμόθεος"|FormalTag="N-NSM"|nodeId="500010010030010"|Gloss="Timothy"|LexDomain="093001"|LN="93.361"
50001001004|δοῦλοι|50001001001|np|id="n50001001004"|ref="PHP 1:1!4"|Cat="noun"|Start="3"|End="3"|StrongNumber="1401"|UnicodeLemma="δοῦλος (II)"|Gender="Masculine"|Number="Plural"|FunctionalTag="N-NPM"|Type="Common"|morphId="50001001004"|NormalizedForm="δοῦλοι"|Case="Nominative"|Unicode="δοῦλοι"|FormalTag="N-NPM"|nodeId="500010010040010"|Gloss="servants"|LexDomain="087005"|LN="87.76"
50001001005|Χριστοῦ|50001001004|np|id="n50001001005"|ref="PHP 1:1!5"|Cat="noun"|Start="4"|End="4"|StrongNumber="5547"|UnicodeLemma="Χριστός"|Gender="Masculine"|Number="Singular"|FunctionalTag="N-GSM"|Type="Proper"|morphId="50001001005"|NormalizedForm="Χριστοῦ"|Case="Genitive"|Unicode="Χριστοῦ"|FormalTag="N-GSM"|nodeId="500010010050010"|Gloss="of Christ"|LexDomain="093001"|LN="93.387"
50001001006|Ἰησοῦ|50001001005|np|id="n50001001006"|ref="PHP 1:1!6"|Cat="noun"|Start="5"|End="5"|StrongNumber="2424"|UnicodeLemma="Ἰησοῦς"|Gender="Masculine"|Number="Singular"|FunctionalTag="N-GSM"|Type="Proper"|morphId="50001001006"|NormalizedForm="Ἰησοῦ"|Case="Genitive"|Unicode="Ἰησοῦ"|FormalTag="N-GSM"|nodeId="500010010060010"|Gloss="Jesus"|LexDomain="093001"|LN="93.169a"
50001001007|πᾶσιν|50001001009|adjp|id="n50001001007"|ref="PHP 1:1!7"|Cat="adj"|Start="6"|End="6"|StrongNumber="3956"|UnicodeLemma="πᾶς"|Gender="Masculine"|Number="Plural"|FunctionalTag="A-DPM"|Type=""|morphId="50001001007"|NormalizedForm="πᾶσιν"|Case="Dative"|Unicode="πᾶσιν"|FormalTag="A-DPM"|nodeId="500010010070010"|Gloss="To all"|LexDomain="059003"|LN="59.23"
50001001008|τοῖς|50001001009|det|id="n50001001008"|ref="PHP 1:1!8"|Cat="det"|Start="7"|End="7"|StrongNumber="3588"|UnicodeLemma="ὁ"|Gender="Masculine"|Number="Plural"|FunctionalTag="T-DPM"|Type=""|morphId="50001001008"|NormalizedForm="τοῖς"|Case="Dative"|Unicode="τοῖς"|FormalTag="T-DPM"|nodeId="500010010080010"|Gloss="the"|LexDomain="092004"|LN="92.24"
50001001009|ἁγίοις|50001001001|IO|id="n50001001009"|ref="PHP 1:1!9"|Cat="adj"|Start="8"|End="8"|StrongNumber="40"|UnicodeLemma="ἅγιος"|Gender="Masculine"|Number="Plural"|FunctionalTag="A-DPM"|Type=""|morphId="50001001009"|NormalizedForm="ἁγίοις"|Case="Dative"|Unicode="ἁγίοις"|FormalTag="A-DPM"|nodeId="500010010090010"|Gloss="saints"|LexDomain="011002"|LN="11.27"
50001001010|ἐν|50001001011|prep|id="n50001001010"|ref="PHP 1:1!10"|Cat="prep"|Start="9"|End="9"|StrongNumber="1722"|UnicodeLemma="ἐν"|FunctionalTag="PREP"|Type=""|morphId="50001001010"|NormalizedForm="ἐν"|Unicode="ἐν"|FormalTag="PREP"|nodeId="500010010100010"|Gloss="in"|LexDomain="089020"|LN="89.119"
50001001011|Χριστῷ|50001001009|pp|id="n50001001011"|ref="PHP 1:1!11"|Cat="noun"|Start="10"|End="10"|StrongNumber="5547"|UnicodeLemma="Χριστός"|Gender="Masculine"|Number="Singular"|FunctionalTag="N-DSM"|Type="Proper"|morphId="50001001011"|NormalizedForm="Χριστῷ"|Case="Dative"|Unicode="Χριστῷ"|FormalTag="N-DSM"|nodeId="500010010110010"|Gloss="Christ"|LexDomain="093001"|LN="93.387"
50001001012|Ἰησοῦ|50001001011|np|id="n50001001012"|ref="PHP 1:1!12"|Cat="noun"|Start="11"|End="11"|StrongNumber="2424"|UnicodeLemma="Ἰησοῦς"|Gender="Masculine"|Number="Singular"|FunctionalTag="N-DSM"|Type="Proper"|morphId="50001001012"|NormalizedForm="Ἰησοῦ"|Case="Dative"|Unicode="Ἰησοῦ"|FormalTag="N-DSM"|nodeId="500010010120010"|Gloss="Jesus"|LexDomain="093001"|LN="93.169a"
50001001013|τοῖς|50001001016|det|id="n50001001013"|ref="PHP 1:1!13"|Cat="det"|Start="12"|End="12"|StrongNumber="3588"|UnicodeLemma="ὁ"|Gender="Masculine"|Number="Plural"|FunctionalTag="T-DPM"|Type=""|morphId="50001001013"|NormalizedForm="τοῖς"|Case="Dative"|Unicode="τοῖς"|FormalTag="T-DPM"|nodeId="500010010130010"|Gloss="-"|LexDomain="092004"|LN="92.24"
