45001001001|Παῦλος|None|CL|id="n45001001001"|ref="ROM 1:1!1"|Cat="noun"|Start="0"|End="0"|StrongNumber="3972"|UnicodeLemma="Παῦλος"|Gender="Masculine"|Number="Singular"|FunctionalTag="N-NSM"|Type="Proper"|morphId="45001001001"|NormalizedForm="Παῦλος"|Case="Nominative"|Unicode="Παῦλος"|FormalTag="N-NSM"|nodeId="450010010010010"|Gloss="Paul"|LexDomain="093001"|LN="93.294a"
45001001002|δοῦλος|45001001001|np|id="n45001001002"|ref="ROM 1:1!2"|Cat="noun"|Start="1"|End="1"|StrongNumber="1401"|UnicodeLemma="δοῦλος (II)"|Gender="Masculine"|Number="Singular"|FunctionalTag="N-NSM"|Type="Common"|morphId="45001001002"|NormalizedForm="δοῦλος"|Case="Nominative"|Unicode="δοῦλος"|FormalTag="N-NSM"|nodeId="450010010020010"|Gloss="a servant"|LexDomain="087005"|LN="87.76"
45001001003|Χριστοῦ|45001001002|np|id="n45001001003"|ref="ROM 1:1!3"|Cat="noun"|Start="2"|End="2"|StrongNumber="5547"|UnicodeLemma="Χριστός"|Gender="Masculine"|Number="Singular"|FunctionalTag="N-GSM"|Type="Proper"|morphId="45001001003"|NormalizedForm="Χριστοῦ"|Case="Genitive"|Unicode="Χριστοῦ"|FormalTag="N-GSM"|nodeId="450010010030010"|Gloss="of Christ"|LexDomain="093001"|LN="93.387"
45001001004|Ἰησοῦ,|45001001003|np|id="n45001001004"|ref="ROM 1:1!4"|Cat="noun"|Start="3"|End="3"|StrongNumber="2424"|UnicodeLemma="Ἰησοῦς"|Gender="Masculine"|Number="Singular"|FunctionalTag="N-GSM"|Type="Proper"|morphId="45001001004"|NormalizedForm="Ἰησοῦ"|Case="Genitive"|Unicode="Ἰησοῦ,"|FormalTag="N-GSM"|nodeId="450010010040010"|Gloss="Jesus"|LexDomain="093001"|LN="93.169a"
45001001005|κλητὸς|45001001006|adjp|id="n45001001005"|ref="ROM 1:1!5"|Cat="adj"|Start="4"|End="4"|StrongNumber="2822"|UnicodeLemma="κλητός"|Gender="Masculine"|Number="Singular"|FunctionalTag="A-NSM"|Type=""|morphId="45001001005"|NormalizedForm="κλητός"|Case="Nominative"|Unicode="κλητὸς"|FormalTag="A-NSM"|nodeId="450010010050010"|Gloss="a called"|LexDomain="033029"|LN="33.314"
45001001006|ἀπόστολος|45001001001|np|id="n45001001006"|ref="ROM 1:1!6"|Cat="noun"|Start="5"|End="5"|StrongNumber="652"|UnicodeLemma="ἀπόστολος"|Gender="Masculine"|Number="Singular"|FunctionalTag="N-NSM"|Type="Common"|morphId="45001001006"|NormalizedForm="ἀπόστολος"|Case="Nominative"|Unicode="ἀπόστολος"|FormalTag="N-NSM"|nodeId="450010010060010"|Gloss="apostle"|LexDomain="053009"|LN="53.74"
45001001007|ἀφωρισμένος|45001001001|adjp|id="n45001001007"|ref="ROM 1:1!7"|Cat="verb"|Start="6"|End="6"|StrongNumber="873"|UnicodeLemma="ἀφορίζω"|Gender="Masculine"|Mood="Participle"|Tense="Perfect"|Number="Singular"|FunctionalTag="V-RPP-NSM"|Type=""|morphId="45001001007"|NormalizedForm="ἀφωρισμένος"|Case="Nominative"|Unicode="ἀφωρισμένος"|FormalTag="V-REP-NSM"|Voice="Passive"|nodeId="450010010070010"|Gloss="having been set apart"|SubjRef="n45001001001"|Frame="A1:n45001001001"|LexDomain="037005"|LN="37.97"
45001001008|εἰς|45001001009|prep|id="n45001001008"|ref="ROM 1:1!8"|Cat="prep"|Start="7"|End="7"|StrongNumber="1519"|UnicodeLemma="εἰς"|FunctionalTag="PREP"|Type=""|morphId="45001001008"|NormalizedForm="εἰς"|Unicode="εἰς"|FormalTag="PREP"|nodeId="450010010080010"|Gloss="for"|LexDomain="089009"|LN="89.57"
45001001009|εὐαγγέλιον|45001001007|ADV|id="n45001001009"|ref="ROM 1:1!9"|Cat="noun"|Start="8"|End="8"|StrongNumber="2098"|UnicodeLemma="εὐαγγέλιον"|Gender="Neuter"|Number="Singular"|FunctionalTag="N-ASN"|Type="Common"|morphId="45001001009"|NormalizedForm="εὐαγγέλιον"|Case="Accusative"|Unicode="εὐαγγέλιον"|FormalTag="N-ASN"|nodeId="450010010090010"|Gloss="[the] gospel"|LexDomain="033015"|LN="33.217"
45001001010|Θεοῦ,|45001001009|np|id="n45001001010"|ref="ROM 1:1!10"|Cat="noun"|Start="9"|End="9"|StrongNumber="2316"|UnicodeLemma="θεός"|Gender="Masculine"|Number="Singular"|FunctionalTag="N-GSM"|Type="Common"|morphId="45001001010"|NormalizedForm="Θεοῦ"|Case="Genitive"|Unicode="Θεοῦ,"|FormalTag="N-GSM"|nodeId="450010010100010"|Gloss="of God"|LexDomain="012001"|LN="12.1"
45001002001|ὃ|45001002002|O|id="n45001002001"|ref="ROM 1:2!1"|Cat="pron"|Start="10"|End="10"|StrongNumber="3739"|UnicodeLemma="ὅς"|Gender="Neuter"|Number="Singular"|FunctionalTag="R-ASN"|Type="Relative"|morphId="45001002001"|NormalizedForm="ὅ"|Case="Accusative"|Unicode="ὃ"|FormalTag="R-ASN"|nodeId="450010020010010"|Gloss="which"|Ref="n45001001009"|LexDomain="092006"|LN="92.27"
